frame,x1,y1,w,h,score,ms
1,151.33,255.47,80.39,52.02,0.9891,74.1
2,151.89,260.14,78.08,50.35,0.9873,44.4
3,153.75,264.72,75.92,49.61,0.9852,44.3
4,152.58,267.98,73.26,48.62,0.9858,44.4
5,152.58,272.26,72.05,46.74,0.9851,32.4
6,151.82,272.9,72.82,44.72,0.9879,27.2
7,153.2,272.53,70.99,44.48,0.9943,26.1
8,154.13,272.6,70.06,44.45,0.9947,26.9
9,153.83,274.22,69.18,43.54,0.9939,26.0
10,154.82,277.17,68.07,42.24,0.995,27.7
11,152.58,276.38,69.92,40.63,0.9938,26.7
12,153.03,277.24,69.6,39.75,0.9894,27.6
13,155.77,276.34,69.62,39.37,0.9905,26.4
14,154.14,274.31,69.99,39.13,0.9794,27.6
15,155.65,273.77,71.48,38.59,0.9864,26.8
16,155.03,272.96,70.76,38.39,0.9952,27.6
17,155.6,274.22,70.33,37.99,0.9874,26.8
18,153.91,274.42,69.99,38.31,0.9885,27.9
19,153.87,273.25,70.56,38.94,0.9849,27.2
20,153.09,273.35,69.63,39.59,0.9816,27.8
21,153.66,272.54,69.51,40.45,0.9917,27.4
22,154.07,272.26,69.05,41.12,0.9935,27.5
23,153.65,272.81,68.99,41.76,0.9942,27.3
24,152.8,274.1,68.72,42.41,0.9897,27.4
25,152.16,277.95,68.67,42.55,0.9891,27.5
26,150.76,280.49,68.57,42.55,0.9851,27.0
27,151.32,284.14,68.4,42.16,0.9928,26.9
28,148.9,286.55,69.03,41.6,0.9907,26.6
29,149.99,289.16,69.38,41.77,0.9967,27.4
30,149.11,289.55,69.13,41.94,0.9945,26.6
31,147.51,290.08,69.57,41.91,0.9961,27.3
32,147.19,291.73,70.23,41.18,0.9945,26.0
33,146.57,292.24,70.85,40.87,0.9928,27.8
34,145.9,295.3,71.49,40.08,0.984,26.7
35,145.34,295.78,70.83,40.51,0.9917,27.8
36,146.84,296.77,70.02,40.93,0.9918,26.8
37,146.83,297.34,69.67,41.3,0.994,27.7
38,147.59,295.88,70.06,42.46,0.9973,26.8
39,146.03,291.78,70.93,43.31,0.9887,27.6
40,148.25,288.49,71.06,44.17,0.9888,26.8
41,148.56,286.79,72.53,42.95,0.9944,27.5
42,149.02,286.88,73.09,42.11,0.9941,27.3
43,146.51,288.17,73.81,41.59,0.9973,27.8
44,144.03,288.9,73.56,42.44,0.9898,27.0
45,145.67,294.86,72.46,43.03,0.995,27.3
46,144.29,303.26,71.61,44.21,0.9919,27.2
47,143.61,315.63,71.21,44.02,0.9954,27.3
48,143.17,322.31,70.17,43.95,0.9967,27.4
49,142.16,326.9,70.01,43.32,0.9947,27.2
50,142.36,333.41,69.71,42.9,0.9944,27.1
51,143.27,340.96,69.26,42.49,0.9878,27.0
52,142.04,347.15,68.39,41.6,0.9945,28.4
53,140.88,349.65,69.39,40.8,0.9948,27.6
54,138.02,352.96,70.32,39.59,0.9831,27.8
55,141.23,354.25,70.83,38.96,0.9942,26.8
56,139.68,356.18,71.01,38.42,0.9927,26.9
57,138.53,356.2,71.58,38.26,0.9952,26.3
58,138.0,354.22,72.12,38.72,0.9955,27.5
59,138.93,353.5,72.03,39.67,0.9982,26.5
60,140.53,351.25,72.8,40.53,0.9978,28.0
61,138.23,350.86,73.69,40.94,0.9959,26.9
62,137.61,348.48,75.74,39.61,0.9995,27.7
63,135.81,345.02,77.02,38.75,0.9976,26.5
64,136.25,341.27,77.18,37.98,0.9981,27.4
65,135.8,339.61,79.73,36.19,0.999,26.3
66,132.71,338.91,82.63,34.87,0.9991,27.8
67,132.26,339.9,84.02,34.08,0.9994,27.1
68,127.97,336.87,84.89,34.73,0.9965,28.4
69,133.05,328.86,84.27,34.16,0.9997,26.8
70,130.74,328.3,83.4,34.01,0.9986,27.3
71,127.39,324.84,87.17,32.26,0.9848,27.0
72,129.07,327.12,88.11,31.68,0.9962,27.6
73,123.98,327.19,89.33,32.04,0.9977,27.2
74,124.38,324.09,88.87,33.24,0.9992,27.5
75,125.33,321.97,88.46,33.58,0.9987,27.3
76,123.41,321.52,87.4,34.23,0.9975,27.6
77,123.82,321.97,88.53,33.51,0.999,27.3
78,123.16,319.94,90.46,33.87,0.9971,27.4
79,119.1,317.82,91.02,34.09,0.9979,27.2
80,115.06,315.32,91.6,34.45,0.9985,26.8
81,117.22,313.4,90.69,35.45,0.9974,27.3
82,115.94,314.18,90.3,35.56,0.9995,26.8
83,117.43,315.85,89.34,35.18,0.9993,27.3
84,114.52,316.47,89.25,34.59,0.9992,27.2
85,115.63,316.39,87.91,34.2,0.9991,27.6
86,118.56,316.66,88.86,33.78,0.998,26.4
87,115.45,317.4,90.0,33.26,0.9994,27.2
88,113.39,319.48,90.17,32.71,0.9992,26.2
89,113.19,320.21,90.08,32.75,0.9994,27.8
90,115.77,319.06,90.09,32.37,0.996,26.8
91,114.5,318.72,88.75,32.17,0.9995,27.8
92,111.58,319.56,89.38,32.48,0.9995,26.9
93,108.84,319.75,90.3,32.2,0.9993,28.2
94,111.06,317.23,89.46,32.54,0.9988,27.2
95,108.37,317.01,90.19,32.83,0.9991,27.6
96,103.17,318.03,90.3,33.25,0.9992,27.1
97,106.68,318.14,91.09,33.02,0.9995,27.3
98,104.42,319.0,91.82,31.98,0.9985,27.4
99,103.86,319.38,91.69,31.64,0.9982,27.2
100,104.34,319.3,92.54,31.07,0.9987,28.0
101,95.64,318.07,93.33,31.52,0.9984,26.8
102,90.97,311.54,93.27,31.71,0.998,27.5
103,96.58,310.76,92.6,31.52,0.9962,26.8
104,94.04,307.94,93.1,32.41,0.9975,27.5
105,86.51,307.53,93.69,33.23,0.9994,26.6
106,83.03,308.53,94.76,33.55,0.9975,27.6
107,84.57,307.76,94.14,34.75,0.9992,26.5
108,86.89,306.21,92.43,35.74,0.9986,28.1
109,84.86,306.68,91.52,34.9,0.9976,27.0
110,85.29,308.54,91.29,33.69,0.9974,28.1
111,80.95,308.82,91.27,33.09,0.9991,26.8
112,85.18,308.86,89.81,33.78,0.9996,27.6
113,81.98,309.74,89.81,33.76,0.9987,26.5
114,86.64,311.48,89.07,33.66,0.9973,27.7
115,84.45,310.83,87.8,32.79,0.9981,26.8
116,78.84,311.65,86.86,32.25,0.998,27.9
117,87.79,310.8,86.64,31.36,0.9961,27.4
118,83.47,309.81,86.57,31.38,0.9986,27.4
119,79.3,306.85,86.76,31.46,0.995,27.0
120,79.93,306.35,85.99,31.78,0.9985,27.4
121,78.45,304.74,84.58,31.75,0.9985,27.3
122,78.74,303.64,83.12,31.87,0.9992,27.3
123,80.8,301.97,81.71,32.18,0.9971,27.5
124,80.22,300.27,80.25,32.43,0.9992,27.4
125,78.9,299.83,79.58,31.88,0.9993,27.3
126,79.54,298.46,80.0,31.81,0.9977,26.5
127,77.03,296.75,78.9,31.27,0.999,27.3
128,76.69,295.46,78.25,31.19,0.9994,26.2
129,76.48,295.18,76.63,30.86,0.9995,27.9
130,70.74,294.56,76.86,30.16,0.9991,26.2
131,75.68,292.77,75.43,30.63,0.9968,27.7
132,78.18,292.13,74.15,31.16,0.9984,26.5
133,78.32,288.79,72.98,30.89,0.9965,27.5
134,77.96,287.58,73.51,30.37,0.9991,26.9
135,74.35,287.76,72.44,29.39,0.9984,28.1
136,79.13,287.05,71.74,29.14,0.9985,27.3
137,77.03,288.28,71.09,28.65,0.9968,28.1
138,77.59,289.32,69.36,28.62,0.9961,26.9
