frame,x1,y1,w,h,score,ms
1,149.46,254.88,80.64,53.78,0.9894,78.0
2,150.55,260.62,78.28,54.69,0.9971,48.0
3,150.88,265.04,76.34,55.12,0.9973,47.8
4,150.7,268.42,75.36,55.44,0.9983,44.6
5,150.99,271.96,74.66,55.51,0.9987,26.9
6,152.14,272.84,73.78,55.75,0.995,27.2
7,153.02,272.32,74.03,56.0,0.9976,26.7
8,151.63,272.08,73.97,56.2,0.9988,27.1
9,151.74,273.6,73.55,56.53,0.9988,26.5
10,151.9,275.27,72.89,56.48,0.9977,27.6
11,152.75,275.22,73.06,55.94,0.9931,27.6
12,152.65,275.18,73.7,55.39,0.9952,27.5
13,153.19,273.72,73.37,55.75,0.9951,27.6
14,153.4,271.12,73.17,55.85,0.9951,27.5
15,153.94,269.16,73.64,55.61,0.9962,27.4
16,153.2,269.26,73.58,55.52,0.9822,27.1
17,152.31,269.85,73.7,55.48,0.987,26.8
18,152.58,269.89,73.83,55.42,0.9922,26.8
19,152.22,270.22,73.58,55.63,0.9931,27.5
20,151.71,270.75,73.79,55.65,0.9935,26.8
21,151.49,270.48,74.29,55.64,0.9968,27.3
22,151.26,270.79,74.65,55.43,0.9944,26.4
23,150.74,271.15,75.38,55.48,0.993,27.1
24,149.72,273.22,75.39,56.29,0.998,26.3
25,148.55,276.01,75.15,56.4,0.9991,27.6
26,147.89,279.76,74.79,56.63,0.9992,26.7
27,147.54,281.67,74.7,57.1,0.9987,27.5
28,147.51,283.73,74.8,57.55,0.9975,26.7
29,146.09,285.63,75.0,57.98,0.9987,27.9
30,145.82,287.4,75.24,57.95,0.9969,26.8
31,145.47,288.29,75.62,57.49,0.9942,27.4
32,145.14,289.1,74.93,57.25,0.9958,27.1
33,144.46,290.33,74.87,56.74,0.9918,27.7
34,144.64,292.27,74.7,56.71,0.9917,27.5
35,144.36,293.36,74.49,56.75,0.9955,27.9
36,144.21,294.26,74.28,57.06,0.9962,27.1
37,144.58,294.75,73.9,57.23,0.9977,28.1
38,143.31,294.84,74.44,57.07,0.9985,27.6
39,144.12,291.41,73.72,58.35,0.9994,28.1
40,144.7,286.54,74.23,58.61,0.9934,27.1
41,145.24,285.1,75.21,57.9,0.9909,27.9
42,145.28,284.7,75.5,57.86,0.9857,26.9
43,145.08,285.02,76.22,57.67,0.9929,27.8
44,142.67,287.43,76.71,57.53,0.9921,27.4
